date,cloudcover,day_of_week,label
1993-06-28,60.6,Monday,Weekday
1993-06-29,96.9,Tuesday,Weekday
1993-06-30,88.3,Wednesday,Weekday
1993-07-01,70.9,Thursday,Weekday
1993-07-02,93.4,Friday,Weekday
1993-07-03,88.9,Saturday,Weekend
1993-07-04,42.2,Sunday,Weekend
1993-07-05,5.5,Monday,Weekday
1993-07-06,54.6,Tuesday,Weekday
1993-07-07,42.4,Wednesday,Weekday
1993-07-08,39.6,Thursday,Weekday
1993-07-09,26.8,Friday,Weekday
1993-07-10,38.3,Saturday,Weekend
1993-07-11,44.5,Sunday,Weekend
1993-07-12,53.4,Monday,Weekday
1993-07-13,50.4,Tuesday,Weekday
1993-07-14,82.2,Wednesday,Weekday
1993-07-15,62.2,Thursday,Weekday
1993-07-16,18.8,Friday,Weekday
1993-07-17,26.4,Saturday,Weekend
1993-07-18,39.8,Sunday,Weekend
1993-07-19,93.8,Monday,Weekday
1993-07-20,62.0,Tuesday,Weekday
1993-07-21,39.4,Wednesday,Weekday
1993-07-22,25.2,Thursday,Weekday
1993-07-23,21.3,Friday,Weekday
1993-07-24,57.0,Saturday,Weekend
1993-07-25,54.2,Sunday,Weekend
1993-07-26,92.9,Monday,Weekday
1993-07-27,91.3,Tuesday,Weekday
1993-07-28,42.8,Wednesday,Weekday
1993-07-29,58.0,Thursday,Weekday
1993-07-30,27.0,Friday,Weekday
1993-07-31,36.6,Saturday,Weekend
1993-08-01,40.8,Sunday,Weekend
1993-08-02,58.3,Monday,Weekday
1993-08-03,73.0,Tuesday,Weekday
1993-08-04,81.8,Wednesday,Weekday
1993-08-05,41.5,Thursday,Weekday
1993-08-06,87.1,Friday,Weekday
1993-08-07,85.8,Saturday,Weekend
1993-08-08,62.7,Sunday,Weekend
1993-08-09,73.2,Monday,Weekday
1993-08-10,61.5,Tuesday,Weekday
1993-08-11,86.3,Wednesday,Weekday
1993-08-12,80.9,Thursday,Weekday
1993-08-13,82.6,Friday,Weekday
1993-08-14,69.9,Saturday,Weekend
1993-08-15,50.8,Sunday,Weekend
1993-08-16,97.9,Monday,Weekday
1993-08-17,99.8,Tuesday,Weekday
1993-08-18,83.3,Wednesday,Weekday
1993-08-19,25.8,Thursday,Weekday
1993-08-20,79.5,Friday,Weekday
1993-08-21,29.5,Saturday,Weekend
1993-08-22,35.7,Sunday,Weekend
1993-08-23,39.7,Monday,Weekday
1993-08-24,64.2,Tuesday,Weekday
1993-08-25,52.6,Wednesday,Weekday
1993-08-26,6.7,Thursday,Weekday
1993-08-27,15.3,Friday,Weekday
1993-08-28,45.9,Saturday,Weekend
1993-08-29,43.5,Sunday,Weekend
1993-08-30,57.6,Monday,Weekday
1993-08-31,58.5,Tuesday,Weekday
1993-09-01,89.3,Wednesday,Weekday
1993-09-02,100.0,Thursday,Weekday
1993-09-03,90.6,Friday,Weekday
1993-09-04,95.6,Saturday,Weekend
1993-09-05,56.6,Sunday,Weekend
1993-09-06,16.0,Monday,Weekday
1993-09-07,61.0,Tuesday,Weekday
1993-09-08,99.9,Wednesday,Weekday
1993-09-09,96.7,Thursday,Weekday
1993-09-10,72.3,Friday,Weekday
1993-09-11,19.8,Saturday,Weekend
1993-09-12,53.5,Sunday,Weekend
1993-09-13,39.9,Monday,Weekday
1993-09-14,46.5,Tuesday,Weekday
1993-09-15,42.7,Wednesday,Weekday
1993-09-16,100.0,Thursday,Weekday
1993-09-17,100.0,Friday,Weekday
1993-09-18,99.6,Saturday,Weekend
1993-09-19,28.5,Sunday,Weekend
1993-09-20,49.6,Monday,Weekday
1993-09-21,99.8,Tuesday,Weekday
1993-09-22,100.0,Wednesday,Weekday
1993-09-23,96.5,Thursday,Weekday
1993-09-24,21.9,Friday,Weekday
1993-09-25,58.3,Saturday,Weekend
